127.0.0.1, 2019-04-10 14:47:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 8.607000
127.0.0.1, 2019-04-10 14:47:23, GET, /admin/default/files_menu, HTTP/1.1, 200, 10.042000
127.0.0.1, 2019-04-10 14:47:23, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 10.373000
127.0.0.1, 2019-04-10 14:48:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 3.569000
127.0.0.1, 2019-04-10 14:48:17, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 3.814000
127.0.0.1, 2019-04-10 14:48:19, POST, /admin/default/edit/app1/controllers/test.py, HTTP/1.1, 200, 1.282000
127.0.0.1, 2019-04-10 14:48:42, GET, /app1/test/hello/, HTTP/1.1, 200, 0.215000
127.0.0.1, 2019-04-10 14:49:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 3.262000
127.0.0.1, 2019-04-10 14:49:17, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 3.530000
127.0.0.1, 2019-04-10 14:49:49, POST, /admin/default/edit/app1/controllers/test.py, HTTP/1.1, 200, 1.130000
127.0.0.1, 2019-04-10 14:49:54, GET, /app1/test/hello/, HTTP/1.1, 200, 0.231000
127.0.0.1, 2019-04-10 14:49:54, GET, /app1/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-04-10 14:49:54, GET, /app1/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2019-04-10 14:49:54, GET, /app1/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-04-10 14:49:54, GET, /app1/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-04-10 14:49:54, GET, /app1/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-04-10 14:49:54, GET, /app1/static/js/web2py.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2019-04-10 14:49:54, GET, /app1/static/js/jquery.js, HTTP/1.1, 200, 0.008000
00, 0.007000
127.0.0.1, 2019-04-10 14:49:54, GET, /app1/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-04-10 14:50:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 3.022000
127.0.0.1, 2019-04-10 14:50:17, GET, /admin/default/site, HTTP/1.1, 200, 2.734000
127.0.0.1, 2019-04-10 14:50:18, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 5.228000
127.0.0.1, 2019-04-10 14:50:40, GET, /admin/default/compile_app/app1, HTTP/1.1, 303, 3.576000
127.0.0.1, 2019-04-10 14:50:42, GET, /admin/default/site, HTTP/1.1, 200, 1.521000
127.0.0.1, 2019-04-10 14:50:54, GET, /admin/default/remove_compiled_app/app1, HTTP/1.1, 303, 1.317000
127.0.0.1, 2019-04-10 14:50:56, GET, /admin/default/site, HTTP/1.1, 200, 1.587000
127.0.0.1, 2019-04-10 14:51:00, GET, /app1/test/hello/, HTTP/1.1, 200, 0.259000
127.0.0.1, 2019-04-10 14:51:05, GET, /test/firstTest/yass, HTTP/1.1, 200, 0.257000
127.0.0.1, 2019-04-10 14:51:05, GET, /test/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2019-04-10 14:51:05, GET, /test/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2019-04-10 14:51:05, GET, /test/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.007000
127.0.0.1, 2019-04-10 14:51:05, GET, /test/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2019-04-10 14:51:05, GET, /test/static/css/calendar.css, HTTP/1.1, 304, 0.005000
127.0.0.1, 2019-04-10 14:51:05, GET, /test/static/js/calendar.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-04-10 14:51:05, GET, /test/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-04-10 14:51:05, GET, /test/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-04-10 14:51:05, GET, /test/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-04-10 15:20:17, GET, /app1, HTTP/1.1, 200, 0.490000
127.0.0.1, 2019-04-10 15:20:17, GET, /app1/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-04-10 15:20:17, GET, /app1/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-04-10 15:20:17, GET, /app1/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002000
